# ShedOS apps catalog — informational reference. The canonical install-time
# list lives in installer/calamares/modules/packagechooser_apps.conf.
#
# Format (tab-separated):
#   pkg \t category \t display_name \t description \t icon

google-chrome	Browsers	Google Chrome	Google's web browser. Sign-in sync, Widevine.	google-chrome
postman-bin	Productivity	Postman	API client for HTTP/REST development.	postman
claude-code-bin	Editors	Claude Code	Anthropic's agentic coding tool for the terminal.	terminal
jetbrains-toolbox	Editors	JetBrains Toolbox	Manage JetBrains IDEs (PyCharm, IntelliJ, etc.).	jetbrains-toolbox
